country_txt,conflict,stmt_init,init_entity,idate,iyear,crit1,crit2,crit3,sanctions,targsanctions,bigfour,EUpresidency,tactical,rhetorical,threat_scope,membership_lang,verb_tense,active_passive,human_rights,ter_sovereignty,peace,securit,democracy,soc_dev,econ_dev,source
"Georgia                                           ","Russo-Georgia War                                 ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2008-09-01,2008,0x00,0x00,0x01,NULL,NULL,NULL,"France              ",0x00,0x01,0x00,0x00,0x01,0x01,0x01,0x01,0x01,0x01,0x00,0x00,0x00,"https://www.consilium.europa.eu/ueDocs/cms_Data/docs/pressData/en/ec/102545.pdf                                                                                                                                                  "
"Georgia                                           ","Russo-Georgia War                                 ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2008-09-15,2008,0x00,0x00,0x01,NULL,NULL,NULL,"France              ",0x00,0x01,0x00,0x00,0x01,0x01,0x00,0x01,0x01,0x01,0x00,0x00,0x01,"https://www.consilium.europa.eu/ueDocs/cms_Data/docs/pressdata/en/gena/102749.pdf                                                                                                                                                "
"Georgia                                           ","Russo-Georgia War                                 ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2008-12-11,2008,0x00,0x00,0x00,NULL,NULL,NULL,"France              ",0x00,0x01,0x01,0x00,0x01,0x01,0x00,0x00,0x01,0x01,0x00,0x00,0x01,"https://www.consilium.europa.eu/uedocs/cms_data/docs/pressdata/en/ec/104692.pdf                                                                                                                                                  "
"Georgia                                           ","Russo-Georgia War                                 ","national government                                                                                                                                                                                                              ","United Kingdom                                                                                                                                                                                                                   ",2010-11-01,2010,0x00,0x00,0x00,NULL,NULL,0x01,"Belgium             ",0x01,0x00,0x00,0x00,0x01,0x00,0x00,0x00,0x01,0x01,0x00,0x00,0x01,"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/229499/111208_First_Annual_Report_SDSR.pdf                                                                                       "
"Ukraine                                           ","Crimea Annexation                                 ","national government                                                                                                                                                                                                              ","United Kingdom                                                                                                                                                                                                                   ",2015-11-01,2015,0x00,0x01,0x00,NULL,NULL,0x01,"Poland              ",0x01,0x00,0x00,0x01,0x01,0x00,0x00,0x01,0x01,0x01,0x00,0x00,0x01,"https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/555607/2015_Strategic_Defence_and_Security_Review.pdf                                                                            "
"Georgia                                           ","Russo-Georgia War                                 ","EUC President                                                                                                                                                                                                                    ","EU Council                                                                                                                                                                                                                       ",2008-08-07,2008,0x00,0x01,0x01,NULL,NULL,NULL,"France              ",0x01,0x00,0x01,0x01,0x01,0x00,0x01,0x01,0x01,0x01,0x00,0x01,0x01,"https://www.vie-publique.fr/discours/171867-tribune-de-m-nicolas-sarkozy-president-de-la-republique-dans-le-figa                                                                                                                 "
"Ukraine                                           ","Crimea Annexation                                 ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2014-03-17,2014,0x00,0x01,0x01,0x01,0x00,NULL,"Belgium             ",0x00,0x01,0x01,0x01,0x00,0x00,0x00,0x01,0x01,0x01,0x01,0x01,0x01,"https://www.consilium.europa.eu/en/meetings/fac/2014/03/17/                                                                                                                                                                      "
"Ukraine                                           ","Crimea Annexation                                 ","EUC President                                                                                                                                                                                                                    ","EU                                                                                                                                                                                                                               ",2014-03-21,2014,0x00,0x01,0x01,0x01,0x00,NULL,"Belgium             ",0x00,0x01,0x01,0x01,0x01,0x01,0x00,0x01,0x01,0x01,0x01,0x00,0x01,"https://www.consilium.europa.eu/en/meetings/european-council/2014/03/20-21/                                                                                                                                                      "
"Ukraine                                           ","Crimea Annexation                                 ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2014-06-23,2014,0x00,0x01,0x01,0x01,0x01,NULL,"Belgium             ",0x00,0x01,0x01,0x00,0x00,0x01,0x00,0x01,0x01,0x01,0x01,0x01,0x01,"https://www.consilium.europa.eu/en/meetings/fac/2014/06/23/                                                                                                                                                                      "
"Ukraine                                           ","Crimea Annexation                                 ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2014-07-29,2014,0x00,0x01,0x01,0x01,0x00,NULL,"Belgium             ",0x01,0x00,0x00,0x01,0x01,0x00,0x01,0x01,0x01,0x01,0x01,0x00,0x00," http://data.europa.eu/eli/reg/2014/833/oj                                                                                                                                                                                       "
"Ukraine                                           ","Crimea Annexation                                 ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2017-11-21,2017,0x00,0x01,0x01,0x01,0x00,NULL,"Poland              ",0x01,0x00,0x01,0x00,0x00,0x01,0x00,0x01,0x00,0x00,0x01,0x00,0x01,"                                                                                                                                                                                                                                 "
"Ukraine                                           ","Ukraine Invasion                                  ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2022-02-23,2022,0x00,0x01,0x01,0x01,0x01,NULL,"France              ",0x01,0x00,0x01,0x01,0x00,0x00,0x01,0x01,0x01,0x01,0x00,0x00,0x01,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32022D0266/                                                                                                                                                            "
"Ukraine                                           ","Ukraine Invasion                                  ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2022-02-25,2022,0x00,0x01,0x01,0x01,0x00,NULL,"France              ",0x01,0x00,0x01,0x01,0x01,0x00,0x01,0x01,0x01,0x01,0x01,0x01,0x01,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32022R0328                                                                                                                                                           "
"Ukraine                                           ","Ukraine Invasion                                  ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2022-02-28,2022,0x00,0x01,0x01,0x01,0x01,NULL,"France              ",0x01,0x00,0x01,0x01,0x00,0x00,0x01,0x01,0x01,0x01,0x01,0x01,0x01,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32022R0334                                                                                                                                                           "
"Ukraine                                           ","Ukraine Invasion                                  ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2022-03-01,2022,0x00,0x01,0x01,0x01,0x01,NULL,"France              ",0x01,0x00,0x01,0x01,0x00,0x00,0x01,0x00,0x01,0x01,0x01,0x01,0x00,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32022R0350                                                                                                                                                           "
"Ukraine                                           ","Ukraine Invasion                                  ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2022-03-01,2022,0x00,0x01,0x01,0x01,0x00,NULL,"France              ",0x01,0x00,0x01,0x01,0x00,0x00,0x00,0x00,0x00,0x01,0x00,0x00,0x01,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=celex%3A32022R0345                                                                                                                                                           "
"Ukraine                                           ","Ukraine Invasion                                  ","EU Council                                                                                                                                                                                                                       ","EU                                                                                                                                                                                                                               ",2022-03-09,2022,0x00,0x01,0x01,0x01,0x00,NULL,"France              ",0x01,0x00,0x01,0x01,0x00,0x00,0x01,0x01,0x00,0x01,0x01,0x01,0x01,"https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2022.082.01.0009.01.ENG&toc=OJ%3AL%3A2022%3A082%3ATOC                                                                                                        "
